"","SRA.number","genotype","treatment"
"1","SRR9313209","Col.0","dark.3.days"
"2","SRR9313210","Col.0","dark.3.days"
"3","SRR9313211","Col.0","dark.3.days"
"4","SRR9313212","hy5","dark.3.days"
"5","SRR9313213","hy5","dark.3.days"
"6","SRR9313214","hy5","dark.3.days"
"7","SRR9313223","Col.0","dark.3.days_light.1.5.hrs"
"8","SRR9313224","Col.0","dark.3.days_light.1.5.hrs"
"9","SRR9313225","Col.0","dark.3.days_light.1.5.hrs"
"10","SRR9313226","hy5","dark.3.days_light.1.5.hrs"
"11","SRR9313227","hy5","dark.3.days_light.1.5.hrs"
"12","SRR9313228","hy5","dark.3.days_light.1.5.hrs"
