"","gene_id","gene_short_name","gene_name","X4","chromosome","start","end","X8","X9","X10","X11","WT_mean_FPKM","WT_se_FPKM","Ref5_mean_FPKM","Ref5_se_FPKM","Ref2_mean_FPKM","Ref2_se_FPKM","Med5_mean_FPKM","Med5_se_FPKM","Ref5Med5_mean_FPKM","Ref5Med5_se_FPKM","Ref2Med5_mean_FPKM","Ref2Med5_se_FPKM"
"1","AT1G02820","LEA3","late embryogenesis abundant 3",912,"Chr1",623656,624567,"Late embryogenesis abundant 3 (LEA3) family protein;(source:Araport11)","","Late embryogenesis abundant 3 (LEA3) family protein","AtLEA3, LEA2, LEA3",79.892,4.11,179.589,23.463,72.387,11.245,30.245,3.137,75.672,8.87,40.427,4.124
"2","AT1G04250","AXR3","AUXIN RESISTANT 3",2586,"Chr1",1136078,1138663,"AUX/IAA transcriptional regulator family protein;(source:Araport11)","Transcription regulator acting as repressor of auxin-inducible gene expression. Auxin-inducible AUX/IAA gene. Short-lived nuclear protein with four conserved domains. Domain III has homology to beta alpha alpha dimerization and DNA binding domains. Involved in auxin signaling and is a positive modulator of natural leaf senescence. Auxin induces the degradation of the protein in a dosage-dependent manner in a process mediated by AtRac1. Auxin induced the relocalization of the protein within the nucleus from a diffused nucleoplasmic pattern to a discrete particulated pattern named nuclear protein bodies or NPB in a process also mediated by Rac1. Colocalizes with SCF, CSN and 26S proteasome components.","AUX/IAA transcriptional regulator family protein","AtIAA17, AXR3, IAA17",80.545,6.133,121.054,8.635,81.077,6.427,88.062,1.709,135.414,8.112,83.571,2.015
"3","AT1G04370","ERF14","Ethylene-responsive element binding factor 14",736,"Chr1",1175033,1175768,"Ethylene-responsive element binding factor 14;(source:Araport11)","encodes a member of the ERF (ethylene response factor) subfamily B-3 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 18 members in this subfamily including ATERF-1, ATERF-2, AND ATERF-5.","Ethylene-responsive element binding factor 14","ATERF14, ERF14, ERF97",0,0,0.169,0.034,0,0,0,0,0.15,0.048,0.036,0.036
"4","AT1G05170","AT1G05170","",3275,"Chr1",1490974,1494248,"Galactosyltransferase family protein;(source:Araport11)","","Galactosyltransferase family protein","",15.049,1.274,20.771,1.233,12.278,0.5,16.052,0.727,22.518,2.103,15.79,0.826
"5","AT1G08230","AT1G08230","",3376,"Chr1",2583594,2586969,"","","","",5.248,0.597,7.433,0.518,3.774,0.178,4.56,0.542,8.129,0.557,6.266,0.237
"6","AT1G09350","GolS3","galactinol synthase 3",1805,"Chr1",3019639,3021443,"galactinol synthase 3;(source:Araport11)","Predicted to encode a galactinol synthase","galactinol synthase 3","AtGolS3, GolS3",1.852,0.108,4.844,0.823,1.345,0.157,1.236,0.317,3.799,0.373,1.772,0.459
"7","AT1G09380","UMAMIT25","Usually multiple acids move in and out Transporters 25",3488,"Chr1",3026062,3029549,"nodulin MtN21 /EamA-like transporter family protein;(source:Araport11)","nodulin MtN21-like transporter family protein","nodulin MtN21 /EamA-like transporter family protein","UMAMIT25",0.008,0.008,0.45,0.073,0.008,0.008,0.02,0.01,1.082,0.193,0,0
"8","AT1G10480","ZFP5","zinc finger protein 5",1660,"Chr1",3449567,3451226,"zinc finger protein 5;(source:Araport11)","Encodes a zinc finger protein containing only a single zinc finger that acts downstream of ZFP6 in regulating trichome development by integrating GA and cytokinin signaling.","zinc finger protein 5","ZFP5",0.008,0.008,0.124,0.047,0.052,0.004,0.059,0.032,0.318,0.037,0.065,0.033
"9","AT1G11080","scpl31","serine carboxypeptidase-like 31",3686,"Chr1",3694328,3698013,"serine carboxypeptidase-like 31;(source:Araport11)","","serine carboxypeptidase-like 31","scpl31",3.29,0.089,6.007,0.395,2.74,0.031,3.184,0.073,5.088,0.58,4.023,0.308
"10","AT1G12520","CCS","copper chaperone for SOD1",1909,"Chr1",4267074,4268982,"copper chaperone for SOD1;(source:Araport11)","Copper-zinc superoxide dismutase copper chaperone (delivers copper to the Cu-Zn superoxide dismutase). Localized to the chloroplast. Expressed in roots and shoots. Up-regulated in response to copper and senescence. The AtACC activates all three CuZnSOD activities located in three different subcellular compartments.  Contains three domains, central, ATX-1 like and C-terminal. ATX-1 like domain essential for the copper chaperone function of AtCCS in planta.","copper chaperone for SOD1","ATCCS, CCS",105.219,4.839,143.445,3.721,109.362,3.779,107.234,16.982,156.525,6.97,132.277,6.905
